winner,loser,method
Dominick Cruz(c),Urijah Faber,"Decision (unanimous) (50–45, 50–45, 49–46)"
Max Holloway,Ricardo Lamas,"Decision (unanimous) (30–27, 30–27, 30–27)"
Dan Henderson,Héctor Lombard,KO (elbow)
Dustin Poirier,Bobby Green,KO (punches)
Brian Ortega,Clay Guida,KO (knee)
Beneil Dariush,James Vick,KO (punch)
Jéssica Andrade,Jessica Penne,TKO (punches)
Alex Caceres,Cole Miller,"Decision (unanimous) (29–28, 29–28, 30–27)"
Sean Strickland,Tom Breese,"Decision (split) (28–29, 29–28, 29–28)"
Henrique da Silva,Jonathan Wilson,TKO (punches)
Kevin Casey,Elvis Mutapčić,"Draw (split) (28–29, 29–28, 28–28)"
Polo Reyes,Dong Hyun Ma,KO (punches)
Cody Garbrandt,Thomas Almeida,KO (punches)
Jeremy Stephens,Renan Barão,"Decision (unanimous) (29–28, 29–28, 29–28)"
Rick Story,Tarec Saffiedine,"Decision (unanimous) (29–28, 29–28, 30–27)"
Chris Camozzi,Vitor Miranda,"Decision (unanimous) (30–27, 30–27, 30–27)"
Lorenz Larkin,Jorge Masvidal,"Decision (split) (29–28, 28–29, 29–28)"
Paul Felder,Josh Burkman,"Decision (unanimous) (29–28, 29–28, 29–28)"
Sara McMann,Jessica Eye,"Decision (unanimous) (30–27, 30–27, 30–27)"
Abel Trujillo,Jordan Rinaldi,"Decision (unanimous) (29–28, 29–28, 29–28)"
Jake Collier,Alberto Uda,TKO (knee and spinning back kick to the body)
Erik Koch,Shane Campbell,Submission (rear-naked choke)
Bryan Caraway,Aljamain Sterling,"Decision (split) (29–28, 28–29, 29–28)"
Adam Milstead,Chris de la Rocha,TKO (punches)
Stipe Miocic,Fabrício Werdum(c),KO (punch)
Ronaldo Souza,Vitor Belfort,TKO (punches)
Cris Cyborg,Leslie Smith,TKO (punches)
Maurício Rua,Corey Anderson,"Decision (split) (28–29, 29–28, 29–28)"
Bryan Barberena,Warlley Alves,"Decision (unanimous) (29–28, 29–28, 29–28)"
Demian Maia,Matt Brown,Submission (rear-naked choke)
Thiago Santos,Nate Marquardt,KO (punches)
Francisco Trinaldo,Yancy Medeiros,"Decision (unanimous) (29–26, 30–27, 30–26)"
John Lineker,Rob Font,"Decision (unanimous) (30–27, 29–28, 30–26)"
Antônio Rogério Nogueira,Patrick Cummins,TKO (punches)
Sérgio Moraes,Luan Chagas,"Draw (split) (29–28, 28–29, 28–28)"
Renato Moicano,Zubaira Tukhugov,"Decision (split) (28–29, 29–28, 29–28)"
Alistair Overeem,Andrei Arlovski,TKO (front kick and punches)
Stefan Struve,Antônio Silva,TKO (elbows)
Gunnar Nelson,Albert Tumenov,Submission (rear-naked choke)
Germaine de Randamie,Anna Elmose,TKO (knee to the body and punches)
Nikita Krylov,Francimar Barroso,Submission (rear-naked choke)
Karolina Kowalkiewicz,Heather Jo Clark,"Decision (unanimous) (29–28, 29–28, 30–27)"
Rustam Khabilov,Chris Wade,"Decision (unanimous) (30–27, 29–28, 29–28)"
Magnus Cedenblad,Garreth McLellan,TKO (head kick and punches)
Josh Emmett,Jon Tuck,"Decision (split) (29–28, 28–29, 29–28)"
Reza Madadi,Yan Cabral,TKO (punches)
Kyoji Horiguchi,Neil Seery,"Decision (unanimous) (30–26, 30–27, 30–27)"
Leon Edwards,Dominic Waters,"Decision (unanimous) (30–27, 30–27, 30–27)"
Ulka Sasaki,Willie Gates,Submission (rear-naked choke)
Jon Jones,Ovince Saint Preux,"Decision (unanimous) (50–44, 50–45, 50–45)"
Demetrious Johnson(c),Henry Cejudo,TKO (knees and punches)
Edson Barboza,Anthony Pettis,"Decision (unanimous) (29–28, 29–28, 30–27)"
Robert Whittaker,Rafael Natal,"Decision (unanimous) (29–28, 30–27, 30–27)"
Yair Rodríguez,Andre Fili,KO (flying head kick)
Sergio Pettis,Chris Kelades,"Decision (unanimous) (30–27, 30–27, 30–27)"
Danny Roberts,Dominique Steele,"Decision (unanimous) (29–28, 29–28, 29–28)"
Carla Esparza,Juliana Lima,"Decision (unanimous) (30–27, 30–27, 30–27)"
James Vick,Glaico França,"Decision (unanimous) (29–28, 29–28, 30–27)"
Walt Harris,Cody East,TKO (punches)
Marcos Rogério de Lima,Clint Hester,Submission (arm-triangle choke)
Kevin Lee,Efrain Escudero,"Decision (unanimous) (29–28, 29–28, 29–28)"
Glover Teixeira,Rashad Evans,KO (punches)
Rose Namajunas,Tecia Torres,"Decision (unanimous) (29–28, 29–28, 29–28)"
Khabib Nurmagomedov,Darrell Horcher,TKO (punches)
Cub Swanson,Hacran Dias,"Decision (unanimous) (29–28, 29–28, 29–28)"
Michael Chiesa,Beneil Dariush,Submission (rear-naked choke)
Raquel Pennington,Bethe Correia,"Decision (split) (29–28, 28–29, 29–28)"
Santiago Ponzinibbio,Court McGee,TKO (punches)
Michael Graves,Randy Brown,Submission (rear-naked choke)
John Dodson,Manvel Gamburyan,TKO (punches)
Cezar Ferreira,Oluwale Bamgbose,"Decision (unanimous) (29–28, 29–28, 29–27)"
Elizeu Zaleski dos Santos,Omari Akhmedov,TKO (knees)
Junior dos Santos,Ben Rothwell,"Decision (unanimous) (50–45, 50–45, 50–45)"
Derrick Lewis,Gabriel Gonzaga,KO (punches)
Francis Ngannou,Curtis Blaydes,TKO (doctor stoppage)
Timothy Johnson,Marcin Tybura,"Decision (unanimous) (29–28, 29–28, 29–28)"
Jan Błachowicz,Igor Pokrajac,"Decision (unanimous) (29–28, 29–28, 29–28)"
Maryna Moroz,Cristina Stanciu,"Decision (unanimous) (30–27, 30–27, 30–27)"
Zak Cummings,Nicolas Dalby,"Decision (unanimous) (30–27, 30–27, 30–27)"
Alejandro Pérez,Ian Entwistle,Verbal Submission (strikes)
Mairbek Taisumov,Damir Hadžović,TKO (punch)
Damian Stasiak,Filip Pejić,Submission (rear-naked choke)
Lucas Martins,Robert Whiteford,"Decision (split) (29–28, 28–29, 30–27)"
Jared Cannonier,Cyril Asker,KO (punches and elbows)
Bojan Veličković,Alessio Di Chirico,"Decision (unanimous) (29–28, 29–28, 30–27)"
Mark Hunt,Frank Mir,KO (punch)
Neil Magny,Héctor Lombard,TKO (punches)
Jake Matthews,Johnny Case,Submission (rear-naked choke)
Dan Kelly,Antônio Carlos Júnior,TKO (punches)
Steve Bossé,James Te Huna,KO (punch)
Bec Rawlings,Seo Hee Ham,"Decision (unanimous) (30–27, 30–27, 29–28)"
Alan Jouban,Brendan O'Reilly,TKO (elbows and punches)
Dan Hooker,Mark Eddiva,Submission (guillotine choke)
Leslie Smith,Rin Nakai,"Decision (unanimous) (30–27, 29–28, 29–28)"
Viscardi Andrade,Richard Walsh,No Contest (overturned)
Ross Pearson,Chad Laprise,"Decision (split) (28–30, 30–27, 29–28)"
Alan Patrick,Damien Brown,"Decision (unanimous) (30–27, 30–27, 30–26)"
Nate Diaz,Conor McGregor,Submission (rear-naked choke)
Miesha Tate,Holly Holm(c),Technical Submission (rear-naked choke)
Ilir Latifi,Gian Villante,"Decision (unanimous) (30–27, 30–27, 30–27)"
Corey Anderson,Tom Lawlor,"Decision (unanimous) (30–27, 30–27, 29–28)"
Amanda Nunes,Valentina Shevchenko,"Decision (unanimous) (29–28, 29–27, 29–27)"
Siyar Bahadurzada,Brandon Thatch,Submission (arm-triangle choke)
Nordine Taleb,Erick Silva,KO (punches)
Vitor Miranda,Marcelo Guimarães,TKO (head kick and punches)
Darren Elkins,Chas Skelly,"Decision (unanimous) (30–27, 29–27, 30–26)"
Diego Sanchez,Jim Miller,"Decision (unanimous) (29–28, 29–28, 29–28)"
Jason Saggo,Justin Salas,TKO (punches)
Teruto Ishihara,Julian Erosa,KO (punches)
Michael Bisping,Anderson Silva,"Decision (unanimous) (48–47, 48–47, 48–47)"
Gegard Mousasi,Thales Leites,"Decision (unanimous) (30–27, 29–28, 30–27)"
Tom Breese,Keita Nakamura,"Decision (unanimous) (30–27, 30–27, 29–28)"
Brad Pickett,Francisco Rivera,"Decision (split) (29–28, 28–29, 29–28)"
Makwan Amirkhani,Mike Wilkinson,"Decision (unanimous) (29–28, 30–27, 29–28)"
Davey Grant,Marlon Vera,"Decision (unanimous) (30–26, 30–26, 30–26)"
Scott Askham,Chris Dempsey,KO (punch and head kick)
Arnold Allen,Yaotzin Meza,"Decision (unanimous) (30–27, 30–27, 30–27)"
Krzysztof Jotko,Brad Scott,"Decision (unanimous) (29–28, 30–27, 29–28)"
Rustam Khabilov,Norman Parke,"Decision (unanimous) (29–28, 29–28, 29–28)"
Daniel Omielańczuk,Jarjis Danho,"Technical Decision (majority) (29–29, 29–28, 29–28)"
Teemu Packalén,Thibault Gouti,Submission (rear-naked choke)
David Teymur,Martin Svensson,TKO (head kick and punches)
Donald Cerrone,Alex Oliveira,Submission (triangle choke)
Derek Brunson,Roan Carneiro,TKO (punches)
Cody Garbrandt,Augusto Mendes,TKO (punches)
Dennis Bermudez,Tatsuya Kawajiri,"Decision (unanimous) (29–28, 29–28, 29–28)"
Chris Camozzi,Joe Riggs,TKO (knees)
James Krause,Shane Campbell,"Decision (unanimous) (29–28, 29–28, 29–28)"
Sean Strickland,Alex Garcia,TKO (punches)
Oluwale Bamgbose,Daniel Sarafian,KO (head kick and punches)
Anthony Smith,Leonardo Augusto Guimarães,"Decision (unanimous) (29–28, 29–28, 29–28)"
Nathan Coy,Jonavin Webb,"Decision (unanimous) (29–28, 29–28, 29–28)"
Ashlee Evans-Smith,Marion Reneau,"Decision (split) (30–27, 28–29, 29–28)"
Lauren Murphy,Kelly Faszholz,TKO (elbows and punches)
Shamil Abdurakhimov,Anthony Hamilton,"Decision (unanimous) (30–27, 29–28, 29–28)"
Stephen Thompson,Johny Hendricks,TKO (punches)
Roy Nelson,Jared Rosholt,"Decision (unanimous) (30–27, 30–27, 29–28)"
Ovince Saint Preux,Rafael Cavalcante,"Decision (unanimous) (30–27, 30–27, 29–28)"
Joseph Benavidez,Zach Makovsky,"Decision (unanimous) (30–27, 29–28, 29–28)"
Misha Cirkunov,Alex Nicholson,Submission (rear-naked choke)
Mike Pyle,Sean Spencer,TKO (elbows and knees)
Josh Burkman,K. J. Noons,"Decision (unanimous) (30–27, 30–27, 30–27)"
Derrick Lewis,Damian Grabowski,TKO (punches)
Justin Scoggins,Ray Borg,"Decision (unanimous) (30–27, 30–27, 30–26)"
Diego Rivas,Noad Lahat,KO (flying knee)
Mickey Gall,Mike Jackson,Submission (rear-naked choke)
Alex White,Artem Lobov,"Decision (unanimous) (30–27, 30–27, 30–27)"
Anthony Johnson,Ryan Bader,KO (punches)
Ben Rothwell,Josh Barnett,Submission (guillotine choke)
Jimmie Rivera,Iuri Alcântara,"Decision (unanimous) (29–28, 29–28, 29–28)"
Bryan Barberena,Sage Northcutt,Submission (arm-triangle choke)
Tarec Saffiedine,Jake Ellenberger,"Decision (unanimous) (29–28, 29–28, 29–28)"
Carlos Diego Ferreira,Olivier Aubin-Mercier,"Decision (unanimous) (29–28, 29–28, 30–27)"
Rafael Natal,Kevin Casey,TKO (punches)
Wilson Reis,Dustin Ortiz,"Decision (unanimous) (30–27, 30–27, 30–27)"
Alexander Yakovlev,George Sullivan,KO (punch)
Alex Caceres,Masio Fullen,"Decision (unanimous) (30–27, 30–27, 30–27)"
Randy Brown,Matt Dwyer,"Decision (unanimous) (29–28, 29–28, 29–28)"
Damon Jackson,Levan Makashvili,"Draw (majority) (29–27, 28–28, 28–28)"
Anthony Rocco Martin,Felipe Olivieri,Technical Submission (rear-naked choke)
Dominick Cruz,T.J. Dillashaw(c),"Decision (split) (48–47, 46–49, 49–46)"
Eddie Alvarez,Anthony Pettis,"Decision (split) (29–28, 28–29, 29–28)"
Travis Browne,Matt Mitrione,TKO (punches)
Francisco Trinaldo,Ross Pearson,"Decision (unanimous) (30–27, 29–28, 30–27)"
Patrick Côté,Ben Saunders,TKO (punches)
Ed Herman,Tim Boetsch,TKO (knee and punches)
Chris Wade,Mehdi Baghdad,Submission (rear-naked choke)
Luke Sanders,Maximo Blanco,Submission (rear-naked choke)
Paul Felder,Daron Cruickshank,Submission (rear-naked choke)
Ilir Latifi,Sean O'Connell,KO (punches)
Charles Rosa,Kyle Bochniak,"Decision (unanimous) (29–28, 29–28, 30–27)"
Rob Font,Joey Gomez,TKO (punches)
Francimar Barroso,Elvis Mutapčić,"Decision (unanimous) (30–27, 29–28, 30–27)"
Robbie Lawler(c),Carlos Condit,"Decision (split) (47–48, 48–47, 48–47)"
Stipe Miocic,Andrei Arlovski,TKO (punches)
Albert Tumenov,Lorenz Larkin,"Decision (split) (29–28, 28–29, 29–28)"
Brian Ortega,Diego Brandão,Submission (triangle choke)
Abel Trujillo,Tony Sims,Submission (guillotine choke)
Michael McDonald,Masanori Kanehara,Submission (rear-naked choke)
Alex Morono,Kyle Noke,"Decision (split) (29–28, 27–30, 29–28)"
Justine Kish,Nina Ansaroff,"Decision (unanimous) (29–28, 30–27, 30–27)"
Drew Dober,Scott Holtzman,"Decision (unanimous) (29–28, 29–28, 29–28)"
Dustin Poirier,Joseph Duffy,"Decision (unanimous) (30–26, 30–27, 30–27)"
Michinori Tanaka,Joe Soto,"Decision (split) (29–28, 28–29, 29–28)"
Sheldon Westcott,Edgar García,TKO (punches)
Rafael dos Anjos(c),Donald Cerrone,TKO (body kick and punches)
Alistair Overeem,Junior dos Santos,TKO (punches)
Nate Diaz,Michael Johnson,"Decision (unanimous) (29–28, 29–28, 29–28)"
Karolina Kowalkiewicz,Randa Markos,"Decision (unanimous) (29–28, 29–28, 30–27)"
Charles Oliveira,Myles Jury,Submission (guillotine choke)
Nate Marquardt,C. B. Dollaway,KO (punch)
Valentina Shevchenko,Sarah Kaufman,"Decision (split) (28–29, 29–28, 29–28)"
Tamdan McCrory,Josh Samman,Submission (triangle choke)
Nik Lentz,Danny Castillo,"Decision (split) (28–29, 29–28, 30–27)"
Cole Miller,Jim Alers,No Contest (accidental eye poke)
Kamaru Usman,Leon Edwards,"Decision (unanimous) (29–28, 30–27, 29–28)"
Vicente Luque,Hayder Hassan,Technical Submission (anaconda choke)
Francis Ngannou,Luis Henrique,KO (punch)
Conor McGregor(ic),José Aldo(c),KO (punch)
Luke Rockhold,Chris Weidman(c),TKO (punches)
Yoel Romero,Ronaldo Souza,"Decision (split) (29–27, 28–29, 29–28)"
Demian Maia,Gunnar Nelson,"Decision (unanimous) (30–26, 30–25, 30–25)"
Max Holloway,Jeremy Stephens,"Decision (unanimous) (30–27, 30–27, 29–28)"
Urijah Faber,Frankie Saenz,"Decision (unanimous) (29–28, 29–28, 30–27)"
Tecia Torres,Jocelyn Jones-Lybarger,"Decision (unanimous) (30–27, 30–27, 30–27)"
Warlley Alves,Colby Covington,Submission (guillotine choke)
Leonardo Santos,Kevin Lee,TKO (punches)
Magomed Mustafaev,Joe Proctor,TKO (knees and punches)
Yancy Medeiros,John Makdessi,"Decision (split) (29–28, 28–29, 29–28)"
Court McGee,Márcio Alexandre Jr.,"Decision (unanimous) (30–27, 29–28, 29–28)"
Frankie Edgar,Chad Mendes,KO (punch)
Ryan Hall,Artem Lobov,"Decision (unanimous) (30–27, 30–26, 30–26)"
Tony Ferguson,Edson Barboza,Submission (D'Arce choke)
Evan Dunham,Joe Lauzon,"Decision (unanimous) (30–26, 30–27, 30–26)"
Tatsuya Kawajiri,Jason Knight,"Decision (unanimous) (30–27, 30–27, 30–27)"
Julian Erosa,Marcin Wrzosek,"Decision (split) (28–29, 29–28, 29–28)"
Gabriel Gonzaga,Konstantin Erokhin,"Decision (unanimous) (30–27, 30–27, 30–28)"
Ryan LaFlare,Mike Pierce,"Decision (unanimous) (30–27, 29–28, 29–28)"
Geane Herrera,Joby Sanchez,TKO (punches)
Chris Gruetzemacher,Abner Lloveras,"Decision (unanimous) (29–28, 29–28, 29–28)"
Rose Namajunas,Paige VanZant,Submission (rear-naked choke)
Michael Chiesa,Jim Miller,Submission (rear-naked choke)
Sage Northcutt,Cody Pfister,Submission (guillotine choke)
Thiago Santos,Elias Theodorou,"Decision (unanimous) (29–28, 29–27, 29–27)"
Tim Means,John Howard,KO (punch)
Sérgio Moraes,Omari Akhmedov,TKO (punches)
Antônio Carlos Júnior,Kevin Casey,No Contest (accidental eye poke)
Aljamain Sterling,Johnny Eduardo,Submission (guillotine choke)
Santiago Ponzinibbio,Andreas Ståhl,TKO (punches)
Danny Roberts,Nathan Coy,Technical Submission (triangle choke)
Zubaira Tukhugov,Phillipe Nover,"Decision (split) (28–29, 30–27, 30–27)"
Kailin Curran,Emily Kagan,Submission (rear-naked choke)
Benson Henderson,Jorge Masvidal,"Decision (split) (47–48, 48–47, 49–46)"
Dong Hyun Kim,Dominic Waters,TKO (punches)
Alberto Mina,Yoshihiro Akiyama,"Decision (split) (29–28, 28–29, 29–28)"
Choi Doo-ho,Sam Sicilia,TKO (punches)
Yang Dongi,Jake Collier,TKO (punches)
Mike De La Torre,Yui Chul Nam,"Decision (split) (29–28, 28–29, 29–28)"
Tae Hyun Bang,Leo Kuntz,"Decision (split) (28–29, 29–28, 29–28)"
Seo Hee Ham,Cortney Casey,"Decision (unanimous) (29–28, 29–28, 29–28)"
Fredy Serrano,Yao Zhikui,TKO (arm injury)
Marco Beltrán,Ning Guangyou,"Decision (split) (29–28, 28–29, 29–28)"
Dominique Steele,Dong Hyun Ma,KO (slam)
Neil Magny,Kelvin Gastelum,"Decision (split) (47–48, 48–47, 48–47)"
Ricardo Lamas,Diego Sanchez,"Decision (unanimous) (30–27, 30–27, 30–27)"
Henry Cejudo,Jussier Formiga,"Decision (split) (30–27, 28–29, 30–27)"
Erick Montaño,Enrique Marín,"Decision (split) (28–29, 29–28, 29–28)"
Enrique Barzola,Horacio Gutiérrez,"Decision (unanimous) (30–27, 30–27, 30–26)"
Leandro Silva,Efrain Escudero,"Decision (unanimous) (29–28, 29–28, 29–28)"
Érik Pérez,Taylor Lapilus,"Decision (unanimous) (29–28, 29–28, 29–28)"
Bartosz Fabiński,Héctor Urbina,"Decision (unanimous)  (29–28, 30–27, 30–27)"
Alejandro Pérez,Scott Jorgensen,TKO (ankle injury)
Andre Fili,Gabriel Benítez,KO (head kick and punches)
Álvaro Herrera,Vernon Ramos,TKO (punches)
Polo Reyes,Cesar Arzamendia,KO (punch)
Michel Prazeres,Valmir Lázaro,"Decision (split) (29–28, 28–29, 29–28)"
Holly Holm,Ronda Rousey(c),KO (head kick and punches)
Joanna Jędrzejczyk(c),Valérie Létourneau,"Decision (unanimous) (49–46, 49–46, 50–45)"
Mark Hunt,Antônio Silva,TKO (punches)
Robert Whittaker,Uriah Hall,"Decision (unanimous) (30–27, 30–27, 29–28)"
Jared Rosholt,Stefan Struve,"Decision (unanimous) (29–28, 29–28, 29–28)"
Jake Matthews,Akbarh Arreola,TKO (doctor stoppage)
Kyle Noke,Peter Sobotta,TKO (front kick to the body and punches)
Gian Villante,Anthony Perosh,KO (punch)
Danny Martinez,Richie Vaculik,"Decision (unanimous) (30–27, 30–27, 30–27)"
Dan Kelly,Steve Montgomery,"Decision (unanimous) (29–28, 29–28, 29–28)"
Richard Walsh,Steve Kennedy,"Decision (unanimous) (30–27, 30–27, 29–28)"
James Moontasri,Anton Zafir,"TKO (spinning back kick, spinning back fist and punches)"
Ben Nguyen,Ryan Benoit,Submission (rear-naked choke)
Vitor Belfort,Dan Henderson,KO (head kick and punches)
Glover Teixeira,Patrick Cummins,TKO (punches)
Thomas Almeida,Anthony Birchak,KO (punches)
Alex Oliveira,Piotr Hallmann,KO (punch)
Rashid Magomedov,Gilbert Burns,"Decision (unanimous) (30–27, 30–27, 30–27)"
Corey Anderson,Fábio Maldonado,"Decision (unanimous) (30–27, 30–27, 30–27)"
Abel Trujillo,Gleison Tibau,Disqualification (overturned)
Johnny Case,Yan Cabral,"Decision (unanimous) (29–28, 29–28, 29–28)"
Thiago Tavares,Clay Guida,Submission (guillotine choke)
Chas Skelly,Kevin Souza,Submission (rear-naked choke)
Viscardi Andrade,Gasan Umalatov,"Decision (unanimous) (30–27, 30–27, 29–28)"
Jimmie Rivera,Pedro Munhoz,"Decision (split) (29–28, 28–29, 29–28)"
Matheus Nicolau,Bruno Rodrigues,Submission (Japanese necktie)
Louis Smolka,Paddy Holohan,Submission (rear-naked choke)
Norman Parke,Reza Madadi,"Decision (unanimous) (30–27, 30–27, 30–27)"
Darren Till,Nicolas Dalby,"Draw (majority) (29–28, 28–28, 28–28)"
Neil Seery,Jon Delos Reyes,Submission (guillotine choke)
Stevie Ray,Mickael Lebout,"Decision (unanimous) (29–28, 30–27, 30–27)"
Aisling Daly,Ericka Almeida,"Decision (unanimous) (30–27, 29–27, 29–28)"
Krzysztof Jotko,Scott Askham,"Decision (split) (29–28, 28–29, 29–28)"
Tom Breese,Cathal Pendred,TKO (punches)
Darren Elkins,Robert Whiteford,"Decision (unanimous) (30–27, 30–27, 30–27)"
Garreth McLellan,Bubba Bush,TKO (punches)
Daniel Cormier(c),Alexander Gustafsson,"Decision (split) (47–48, 48–47, 49–46)"
Ryan Bader,Rashad Evans,"Decision (unanimous) (30–27, 30–27, 30–27)"
Ruslan Magomedov,Shawn Jordan,"Decision (unanimous) (30–27, 29–28, 30–27)"
Joseph Benavidez,Ali Bagautinov,"Decision (unanimous) (30–27, 30–27, 29–28)"
Julianna Peña,Jessica Eye,"Decision (unanimous) (29–27, 29–27, 29–27)"
Yair Rodríguez,Dan Hooker,"Decision (unanimous) (30–27, 30–27, 30–26)"
